"Test Case ID","Test Case Description","Preconditions","Steps","Expected Result","Remarks"
"TC001","Valid Login with Email and Password","User navigates to login page","['Enter valid email in email field', 'Enter valid password in password field', 'Click on login button']","User is successfully logged in and redirected to dashboard",""
"TC002","Invalid Login with Wrong Password","User navigates to login page","['Enter valid email in email field', 'Enter invalid password in password field (less than 8 characters)', 'Click on login button']","Display 'Invalid credentials' error message",""
"TC003","Forgot Password Flow","User navigates to login page","[""Click on 'Forgot Password' link"", 'Enter valid email in email field', 'Click on send reset link button']","Reset link is sent to user's email",""
"TC004","Password Validation Rules","User navigates to login page","['Enter password with less than 8 characters', 'Enter password without uppercase letter', 'Enter password without special character']","Display password validation error messages",""
"TC005","Login Button Enable/Disable State","User navigates to login page","['Leave email field empty', 'Enter password in password field', 'Click on login button']","Login button remains disabled",""
"TC006","Email and Password Input Fields Visibility","User navigates to login page","['Verify email and password input fields are visible']","Email and password input fields are visible",""
"TC007","Add to Cart Button Visibility","User navigates to product page","[""Verify 'Add to Cart' button is visible for each item""]","Add to Cart button is visible for each item",""
"TC008","Proceed to Checkout Button Enable/Disable State","User navigates to cart page","['Add item to cart', ""Verify 'Proceed to Checkout' button is enabled""]","Proceed to Checkout button is enabled",""
"TC009","Confirmation Modal Display","User navigates to checkout page","['Add item to cart', ""Click on 'Proceed to Checkout' button"", 'Verify confirmation modal is displayed']","Confirmation modal is displayed",""
"TC010","Address and Phone Validation","User navigates to checkout page","['Leave address field empty', 'Leave phone number field empty', ""Click on 'Place Order' button""]","Display address and phone number validation error messages",""
"TC011","Payment Method Selection","User navigates to checkout page","['Select payment method (Credit Card or PayPal)', ""Click on 'Place Order' button""]","Payment method is successfully processed",""
"TC012","Confirmation Email Sent","User navigates to checkout page","['Add item to cart', ""Click on 'Proceed to Checkout' button"", ""Click on 'Place Order' button""]","Confirmation email is sent to user's email",""
